Código;Artículo;Precio sin impuestos;Porcentaje impuestos;Porcentaje liquidación;Fecha fin de promo;Fecha reposición;Canon digital;Part number;Stock local;Stock provincias;Id marca;Marca;Id categoría;Categoría;URL imagen;Código Icecat
10100662;Virtuix Omni Overshoes Medium;89.68;7.00;0;;;0.00;;8;8;521;Virtuix Omni;1061;Hogar / Electrónica consumo>Ocio>Realidad Virual;https://cluster.binarycanarias.com/img/cp-10100662.jpg;-1
10100665;Virtuix Omni Shoes-39 (VF0003-06);90.78;7.00;0;;;0.00;VF0003-06;4;4;521;Virtuix Omni;1061;Hogar / Electrónica consumo>Ocio>Realidad Virual;https://cluster.binarycanarias.com/img/cp-10100665.jpg;-1
10101318;Bracket ASUS LP HDMI/DVI (90YE0030-B001U0);1.00;7.00;70;;;0.00;90YE0030-B001U0;10;10;24;ASUS;195;Integración>Tarjetas gráficas>Varios (tarjetas gráficas);https://cluster.binarycanarias.com/img/cp-10101318.jpg;20562862
10101371;"Monitor TPV Approx 15"" Táctil VGA USB Negro (APPMT15W5)";149.42;7.00;0;;;0.00;APPMT15W5;1;3;20;APPROX;411;Terminales TPV>Terminal punto venta (TPV)>Monitores y display para TPV;https://cluster.binarycanarias.com/img/cp-10101371.jpg;71573315
10102443;Cable EQUIP HDMI/M a HDMI/M 2m Negro/Gris (EQ119381);5.72;7.00;0;;;0.00;EQ119381;10;10;359;EQUIP;217;Periféricos>Cables>Video;https://cluster.binarycanarias.com/img/cp-10102443.jpg;75030200
10102468;Cable EQUIP RJ45 Cat.6a S/FTP 1m Amarillo (EQ606303);1.50;7.00;0;;;0.00;EQ606303;0;5;359;EQUIP;214;Periféricos>Cables>Latiguillos de red;https://cluster.binarycanarias.com/img/cp-10102468.jpg;61153626
10102484;Armario Mural Aiten 15U AM6615 600X600 Acces (80.66.15);170.52;7.00;0;;;0.00;80.66.15;3;10;599;Aiten Data;386;Redes y CCTV>Armarios y cajas>Armarios;https://cluster.binarycanarias.com/img/cp-10102484.jpg;77265953
10102491;Acc. Armario AITEN Termoregulador digital 1U (80.49.030;67.80;7.00;50;;;0.00;80.49.0301;2;7;599;Aiten Data;389;Redes y CCTV>Armarios y cajas>Varios (armarios y cajas);https://cluster.binarycanarias.com/img/cp-10102491.jpg;77802951
10102519;Tinta Epson 603 Magenta 2.4ml (C13T03U34010);6.50;7.00;0;;10/04/2026;0.00;C13T03U34010;5;9;72;EPSON;629;Consumibles impresión>Tintas Marcas>Tintas Epson;https://cluster.binarycanarias.com/img/cp-10102519.jpg;72697674
10102535;Tinta HP 963 Magenta 10.7ml 700 páginas (3JA24AE);18.90;7.00;0;;;0.00;3JA24AE;2;5;87;Hewlett Packard;354;Consumibles impresión>Tintas Marcas>Tintas HP;https://cluster.binarycanarias.com/img/cp-10102535.jpg;67829531
10102539;Tinta HP 963 Amarillo 10.7ml 700 páginas (3JA25AE);18.89;7.00;0;;;0.00;3JA25AE;2;6;87;Hewlett Packard;354;Consumibles impresión>Tintas Marcas>Tintas HP;https://cluster.binarycanarias.com/img/cp-10102539.jpg;67829535
10102548;Lector Tarjetas Posiflex MR3000 3 pistas Negro SL105010;34.73;7.00;50;;;0.00;SL105010;3;8;168;POSIFLEX;421;Terminales TPV>Escáner>Lectores de tarjeta;https://cluster.binarycanarias.com/img/cp-10102548.jpg;-1
10102606;Caja NOX Hummer Quantum ARGB ATX Negra(NXHUMMERQUANTUM);54.41;7.00;0;;;0.00;NXHUMMERQUANTUM;7;7;147;Nox;232;Integración>Carcasas>Torre;https://cluster.binarycanarias.com/img/cp-10102606.jpg;77730175
10102701;Tinta Epson T9443 Magenta 19.9ml 3000 pág (C13T944340);48.12;7.00;0;;;0.00;C13T944340;2;4;72;EPSON;629;Consumibles impresión>Tintas Marcas>Tintas Epson;https://cluster.binarycanarias.com/img/cp-10102701.jpg;41183228
10102735;Teclado SUBBLIM Extended BT3 Slim Gris (SUB-KB-3ADE301);25.58;7.00;0;;;0.00;SUB-KB-3ADE301;1;1;601;SUBBLIM;145;Periféricos>Teclados>Teclados;https://cluster.binarycanarias.com/img/cp-10102735.jpg;76453951
10103278;"Protector Pantalla BELKIN iPad Pro 10.5"" 2018(OVI002ZZ)";19.37;7.00;70;;;0.00;OVI002ZZ;2;3;31;BELKIN;943;Tablets / eBooks>Accesorios PAD y Tablet>Protectores de pantalla;https://cluster.binarycanarias.com/img/cp-10103278.jpg;77525688
10100568;Destructora Fellowes P-25S 11L 3 Min Negra (4701001);26.59;7.00;0;;;0.00;4701001;2;4;436;Fellowes;827;Hogar / Electrónica consumo>Destructoras de Papel>Escritorio;https://cluster.binarycanarias.com/img/cp-10100568.jpg;27205376
10100664;Virtuix Omni Shoes-38 (VF0003-05);90.78;7.00;0;;;0.00;VF0003-05;2;2;521;Virtuix Omni;1061;Hogar / Electrónica consumo>Ocio>Realidad Virual;https://cluster.binarycanarias.com/img/cp-10100664.jpg;-1
10100740;Encuadernadora Fellowes Espiral Metálico M50 (3005001);127.50;7.00;0;;;0.00;3005001;2;2;436;Fellowes;971;Consumibles varios>Material de Oficina>Papelería;https://cluster.binarycanarias.com/img/cp-10100740.jpg;-1
10101395;Repetidor Devolo DualBand Ethernet GbE Blanco (9790);45.90;7.00;30;;;0.00;9790;6;9;564;Devolo;373;Redes y CCTV>WiFi>Varios (wifi);https://cluster.binarycanarias.com/img/cp-10101395.jpg;32014021
10102472;Kit EQUIP Soporte 650318 LP Cable HDMI 119371(EQ650212);15.98;7.00;30;;;0.00;EQ650212;2;2;359;EQUIP;974;Imagen y sonido>Soportes TV>Superior 65 pulgadas;https://cluster.binarycanarias.com/img/cp-10102472.jpg;-1
10102604;Semitorre NOX Hummer Void S/F ATX Negra (NXHUMMERVOID);;7.00;0;;10/04/2026;0.00;NXHUMMERVOID;0;0;147;Nox;232;Integración>Carcasas>Torre;https://cluster.binarycanarias.com/img/cp-10102604.jpg;77802992
10102688;Cable EQUIP DP/M a HDMI/M 3m Negro (EQ119391);8.18;7.00;0;;;0.00;EQ119391;3;6;359;EQUIP;217;Periféricos>Cables>Video;https://cluster.binarycanarias.com/img/cp-10102688.jpg;75781434
10102700;Tinta Epson T9442 Cian 19.9ml 3000 páginas (C13T944240);48.12;7.00;0;;;0.00;C13T944240;2;4;72;EPSON;629;Consumibles impresión>Tintas Marcas>Tintas Epson;https://cluster.binarycanarias.com/img/cp-10102700.jpg;41183227
10102719;Teclado SUBBLIM Retroiluminado BT Gris (SUB-KBT-SMBL31);14.49;7.00;0;;;0.00;SUB-KBT-SMBL31;10;10;601;SUBBLIM;145;Periféricos>Teclados>Teclados;https://cluster.binarycanarias.com/img/cp-10102719.jpg;78284290
10102842;Cable EQUIP Cat.7 S/FTP AWG23 100m Naranja (EQ187321);86.59;7.00;0;;;0.00;EQ187321;1;2;359;EQUIP;487;Redes y CCTV>Cables>Cables de red;https://cluster.binarycanarias.com/img/cp-10102842.jpg;66640098
10103275;"Protector Belkin 5.8"" iPhone 11 Pro/X/XS (F8W940ZZ)";13.25;7.00;70;;;0.00;F8W940ZZ;0;1;31;BELKIN;953;Telefonía / Smartphones>Accesorios de telefonía móvil>Protectores de pantalla;https://cluster.binarycanarias.com/img/cp-10103275.jpg;74949354
10103276;"Protector Belkin 6.5"" iPhone 11 Pro Max (F8W941ZZ)";19.22;7.00;30;;01/04/2026;0.00;F8W941ZZ;4;5;31;BELKIN;953;Telefonía / Smartphones>Accesorios de telefonía móvil>Protectores de pantalla;https://cluster.binarycanarias.com/img/cp-10103276.jpg;74949356
10103450;Destructora Fellowes LX201 22L P-5 Negra (5050001);265.39;7.00;0;;;0.00;5050001;1;2;436;Fellowes;828;Hogar / Electrónica consumo>Destructoras de Papel>Empresa;https://cluster.binarycanarias.com/img/cp-10103450.jpg;76971355
10103522;Latiguillo EQUIP Cat.6 S/FTP 0.50m Blanco (EQ605517);1.19;7.00;0;;;0.00;EQ605517;0;4;359;EQUIP;214;Periféricos>Cables>Latiguillos de red;https://cluster.binarycanarias.com/img/cp-10103522.jpg;716663
10103614;Mesh TP-Link AC1200 WiFi 2xRJ45 Pack 3 Blanco (Deco M4);114.03;7.00;0;;;0.00;DECO M4(3-PACK);2;2;281;TP-Link;369;Redes y CCTV>WiFi>Puntos de acceso;https://cluster.binarycanarias.com/img/cp-10103614.jpg;65477002
10103626;Fuente UNYKA ATX 800W 40mm 80+ Platinum (PSUCRPS800);379.40;7.00;0;;;0.00;PSUCRPS800WR;0;1;215;UNYKA;238;Integración>Fuentes alimentación>Fuentes gaming;https://cluster.binarycanarias.com/img/cp-10103626.jpg;78366934
10100177;Tablero Corcho Bi-Office 90x60cm (CA031790-999);17.82;7.00;0;;;0.00;CA031790-999;0;1;453;Bi-Office;972;Consumibles varios>Material de Oficina>Varios;https://cluster.binarycanarias.com/img/cp-10100177.jpg;24361428
10100666;Virtuix Omni Shoes-40 (VF0003-07);90.78;7.00;0;;;0.00;VF0003-07;2;2;521;Virtuix Omni;1061;Hogar / Electrónica consumo>Ocio>Realidad Virual;https://cluster.binarycanarias.com/img/cp-10100666.jpg;-1
10100670;Virtuix Omni Shoes-44 (VF0003-11);90.78;7.00;0;;;0.00;VF0003-11;2;2;521;Virtuix Omni;1061;Hogar / Electrónica consumo>Ocio>Realidad Virual;https://cluster.binarycanarias.com/img/cp-10100670.jpg;-1
10100673;Virtuix Omni Shoes-47 (VF0003-14);90.78;7.00;0;;;0.00;VF0003-14;4;4;521;Virtuix Omni;1061;Hogar / Electrónica consumo>Ocio>Realidad Virual;https://cluster.binarycanarias.com/img/cp-10100673.jpg;-1
